P10,P50,P90
13.908204426560587,14.980177597678544,16.07591017806084
13.902841459648423,14.98021291506554,16.076375805593756
13.897457554636071,14.976895598135851,16.07556949598006
13.898472264258157,14.981343872049708,16.068703602685723
13.907324585133013,14.977128856859647,16.071233548682027
13.904205706540662,14.976392724720291,16.068303439489416
13.905155935128013,14.974164690982107,16.072078504202363
13.91086589452556,14.967925427678178,16.06649300252839
13.919401261702607,14.973777879859634,16.06105855863709
13.930030424680284,14.97523206533955,16.073002399643837
13.93146228707465,14.974780299017548,16.06958792400895
13.927299796518293,14.978810405189527,16.062197109459113
13.944201801108429,14.976628664529272,16.05243926569711
13.952823138549824,14.973813238845981,16.04878330142925
13.947917251054797,14.969098844379474,16.0462441097424
13.94517148860443,14.972016361268171,16.044498958462892
13.956703349344004,14.969244561757636,16.057109101491562
13.955424385594032,14.971868868902867,16.048320407991596
13.95783619257612,14.977466409279971,16.04214120096459
13.957844113574453,14.975259671599826,16.036806144627338
13.961566639805055,14.976517079376123,16.036398482538775
13.965521745956712,14.971926704260955,16.037987941794498
13.96693085955296,14.971548210750363,16.030446840868358
13.968654306739817,14.973676592680011,16.024349580792023
13.973035997677002,14.973571183567831,16.020637435156637
13.971125056266214,14.972805898113823,16.017873890750185
13.975838534907975,14.973395097443824,16.007678257319952
13.971473776087802,14.9724831979085,16.005430195199278
13.97041046968423,14.970973790673677,15.996944234784781
13.973053760432647,14.971791014255764,15.99519486492544
13.97287151128315,14.968360590572207,15.994784414823284
13.98130734652954,14.971662458721763,16.00080932655152
13.991266858152281,14.965113108575565,15.9963810984783
13.99656327316054,14.968857068037467,15.994330324716858
13.999845438514887,14.973887364279815,15.988194088405137
14.003785896813762,14.974817503929458,15.9842810922505
14.005823294409547,14.97452210785557,15.980313180267483
13.993442899323822,14.97374669051673,15.976036781781591
13.998055241518124,14.973305886022615,15.971817074355002
13.995899246733742,14.978106135937445,15.9791982693766
14.00219205323408,14.974707274523055,15.977319969132932
14.00058925118866,14.972644111016272,15.981025233903145
14.010537712700042,14.973626664049505,15.979750369724293
14.00758696634203,14.978618326154951,15.973186000446992
14.00821266801241,14.986676786488875,15.977529710014172
14.003485317070144,14.980947766055188,15.980090641988113
13.999504310607797,14.979784257491932,15.975905078622983
13.997416507976366,14.9852043341972,15.97473650019861
14.00109937720297,14.988913296907308,15.973004761310666
14.003710236726056,14.989869716552981,15.976284538768658
14.005590329007378,14.985844290345241,15.96839626228168
14.002158013454208,14.987060557196582,15.959247243132063
14.003721160875426,14.984053734302218,15.953723689138489
14.005489040969149,14.982816541064189,15.953135703838429
14.013270718911738,14.983496750240949,15.95740172277163
14.016934563615578,14.987675825309205,15.952704858178398
14.016683190986699,14.98663714563075,15.953826439091664
14.017780527944307,14.986500463545267,15.954940391971077
14.025714613688276,14.990231616511519,15.947483223652421
14.030983887776875,14.989968799966615,15.95238544930941
14.027552602678341,14.992710087805396,15.94765948250828
14.030112715792335,14.983199025199744,15.945697986791448
14.027689749669328,14.98155283371717,15.949938871346237
14.028196401814684,14.97884987102541,15.938570497445713
14.032145699638281,14.978939342284747,15.937692131254968
14.032661432852096,14.980282613237154,15.931460354985735
14.037472017355688,14.97796390819828,15.935759971886814
14.038895268030739,14.98244698526436,15.93522760885822
14.041483803934343,14.98270201413667,15.934139451956325
14.036984801265616,14.979742279941362,15.93632094299508
14.042763367994818,14.98071654846731,15.934641170474386
14.048204544687449,14.97761489778494,15.935893015269535
14.04729836773525,14.979914763107892,15.923869420544618
14.042125176097976,14.977862126969258,15.930022287081679
14.047159007819033,14.97734317540455,15.923127443812684
14.056718438066882,14.979886871763668,15.92097354010782
14.05965792199781,14.97628145482006,15.91501007660709
14.064068809996195,14.983065317789027,15.909522656902395
14.059119893467566,14.983554582225494,15.909307016971052
14.057047000541763,14.98517819964277,15.908400628839292
14.053993937809901,14.985168782823703,15.911274834755128
14.054583163542949,14.979352627396924,15.910871778609057
14.061160833907856,14.981111679263615,15.913889020620593
14.066102233730167,14.98803846080488,15.902837573177328
14.064970186084835,14.98583970910557,15.903546008527476
14.069909370012752,14.985565296216286,15.908296730401583
14.069114020319534,14.981703825880327,15.907811628890968
14.067657666879859,14.98579227583124,15.903066768370586
14.069426511932164,14.985778706747098,15.905131349937761
14.079458425696217,14.983907299927175,15.903760704953969
14.084185953906523,14.983370155541955,15.905676042596298
14.084000643426482,14.982053119904048,15.903292287325945
14.087225996871794,14.98102717148583,15.904472743726908
14.081662505011467,14.983320306770963,15.909606753405406
14.085335659225658,14.980935183069523,15.90683805194293
14.087861752907408,14.978710654054806,15.908184326558796
14.083203780784409,14.979070223750345,15.903357627037304
14.086412316678837,14.977226900048425,15.896537462640174
14.088373386382234,14.979070243369211,15.894996783842906
14.083016684191358,14.976922810307403,15.89365430950371
14.084103570874122,14.976756552021309,15.884651878080616
14.086355759707109,14.974354064566294,15.886558832203644
14.087770239412817,14.976432795579484,15.88291771184751
14.08795336744415,14.977054456424895,15.886340545016312
14.091875825076029,14.976127964945436,15.888411524923567
14.094319707473895,14.979294120735792,15.879667492869954
14.091511810458048,14.975695967095977,15.87122871787308
14.091596724933822,14.974020933454273,15.87759279702123
14.096108926926975,14.977328628885418,15.874455688705629
14.097798123247783,14.976132571690735,15.877365489952952
14.097428175221014,14.97740582740148,15.8718708641413
14.095323179100072,14.977442479631252,15.875234062264465
14.099771706031689,14.979149057837855,15.871659957716806
14.104086275860386,14.980678779218803,15.873930364714013
14.102024902881698,14.97930071082867,15.864748574206502
14.107215918816111,14.982113832562522,15.86322299537064
14.10853534897247,14.978690808190827,15.861587011509018
14.103930515779577,14.978043010860418,15.857399688983481
14.1127174990097,14.976585858997858,15.858191771626908
14.119890686088672,14.97260015970857,15.851704182822909
14.11300302876546,14.97355551683922,15.858253877936665
14.113522793340417,14.97727306216024,15.862037905755729
14.113404365758159,14.97955487531285,15.86517314724721
14.115356398414884,14.980013721997057,15.857642362640519
